profile,alpha,table_bonus,n,hit_rate_at_5,mrr_at_5
quantitative,0.4,0.1,60,0.6,0.45972222222222225
quantitative,0.4,0.15,60,0.6166666666666667,0.46972222222222215
quantitative,0.4,0.2,60,0.5833333333333334,0.4630555555555556
quantitative,0.5,0.0,60,0.6166666666666667,0.44111111111111106
quantitative,0.5,0.05,60,0.6166666666666667,0.4347222222222222
quantitative,0.5,0.08,60,0.6166666666666667,0.4347222222222222
quantitative,0.5,0.1,60,0.6,0.43972222222222224
quantitative,0.5,0.15,60,0.5833333333333334,0.4363888888888889
quantitative,0.5,0.2,60,0.55,0.4347222222222222
quantitative,0.6,0.0,60,0.6166666666666667,0.4386111111111111
quantitative,0.6,0.05,60,0.6166666666666667,0.4386111111111111
quantitative,0.6,0.08,60,0.6,0.43444444444444447
quantitative,0.6,0.1,60,0.6,0.43083333333333335
quantitative,0.6,0.15,60,0.6,0.4216666666666667
quantitative,0.6,0.2,60,0.5833333333333334,0.4247222222222222
quantitative,0.7,0.0,60,0.6166666666666667,0.4052777777777778
quantitative,0.7,0.05,60,0.6,0.40472222222222226
quantitative,0.7,0.08,60,0.5833333333333334,0.39861111111111114
quantitative,0.7,0.1,60,0.5833333333333334,0.39861111111111114
quantitative,0.7,0.15,60,0.5833333333333334,0.40611111111111114
quantitative,0.7,0.2,60,0.6,0.40944444444444444
quantitative,0.8,0.0,60,0.5833333333333334,0.3902777777777777
quantitative,0.8,0.05,60,0.5666666666666667,0.3869444444444444
quantitative,0.8,0.08,60,0.5666666666666667,0.3841666666666666
quantitative,0.8,0.1,60,0.5666666666666667,0.3869444444444444
quantitative,0.8,0.15,60,0.5166666666666667,0.37416666666666665
quantitative,0.8,0.2,60,0.5166666666666667,0.3741666666666667
quantitative,0.9,0.0,60,0.5166666666666667,0.3733333333333333
quantitative,0.9,0.05,60,0.5,0.37
quantitative,0.9,0.08,60,0.5,0.37
quantitative,0.9,0.1,60,0.5,0.37
quantitative,0.9,0.15,60,0.5,0.3713888888888889
quantitative,0.9,0.2,60,0.5,0.3686111111111111
quantitative,1.0,0.0,60,0.5166666666666667,0.3716666666666667
quantitative,1.0,0.05,60,0.5,0.3683333333333333
